Tail Turning on X_axis,Tail twisting on Y-axis,Tail-Main Distance,AOA of Main Wing,C_Fx,C_Fy,C_Fz,C_Tx,C_Ty,C_Tz,,,,,,,,,,,,
20,0,5,-10,0.008352716,-0.185976077,-0.079369998,-0.095197319,0.000265433,-0.001015631,,,20,0,5,0,0.003932479,-0.146280003,0.243978522,-0.149646119,0.006155017,5.0316E-05
20,0,5,-10,0.00815314,-0.185192263,-0.079109348,-0.094402463,2.40581E-05,-0.000958849,,,20,0,5,0,0.002458045,-0.145476737,0.242397616,-0.148991912,0.006009745,5.51192E-05
20,0,5,-10,0.008707203,-0.184442848,-0.077515299,-0.094178197,-0.000128205,-0.000920999,,,20,0,5,0,0.003408181,-0.14495241,0.242044101,-0.148504238,0.005677603,6.04959E-05
20,0,5,10,0.021325979,-0.228422424,0.441360082,-0.282524983,-0.005240452,0.002203778,,,20,0,5,10,0.021325979,-0.228422424,0.441360082,-0.282524983,-0.005240452,0.002203778
20,0,5,10,0.021348259,-0.22788171,0.439665226,-0.2814902,-0.005682128,0.002114127,,,20,0,5,10,0.021348259,-0.22788171,0.439665226,-0.2814902,-0.005682128,0.002114127
20,0,5,10,0.02137594,-0.228181737,0.43754651,-0.280929077,-0.005685469,0.002101226,,,20,0,5,10,0.02137594,-0.228181737,0.43754651,-0.280929077,-0.005685469,0.002101226
20,0,10,0,0.003980948,-0.143364848,0.238251636,-0.167322295,0.005147007,0.0002061,,,20,0,10,-10,0.006533794,-0.174408233,-0.076919228,-0.116106966,0.000193082,-0.000813921
20,0,10,0,0.003527798,-0.143865468,0.234069727,-0.167280823,0.005215758,0.000212219,,,20,0,10,-10,0.006600094,-0.175188848,-0.079744644,-0.117279437,0.000669285,-0.000883298
20,0,10,0,0.003813507,-0.143436771,0.236748134,-0.167049816,0.004924673,0.000219858,,,20,0,10,-10,0.006029069,-0.175003256,-0.0798302,-0.11697495,0.000603163,-0.00086462
20,0,10,-10,0.006533794,-0.174408233,-0.076919228,-0.116106966,0.000193082,-0.000813921,,,20,0,10,0,0.003980948,-0.143364848,0.238251636,-0.167322295,0.005147007,0.0002061
20,0,10,-10,0.006600094,-0.175188848,-0.079744644,-0.117279437,0.000669285,-0.000883298,,,20,0,10,0,0.003527798,-0.143865468,0.234069727,-0.167280823,0.005215758,0.000212219
20,0,10,-10,0.006029069,-0.175003256,-0.0798302,-0.11697495,0.000603163,-0.00086462,,,20,0,10,0,0.003813507,-0.143436771,0.236748134,-0.167049816,0.004924673,0.000219858
